instance_name,computational_time,objective_value,optimal(lower_bound)
mk01,9.5975 ± 0.2113,41.80 ± 0.63,40
mk02,10.1979 ± 0.1090,34.70 ± 1.95,24
mk03,29.7436 ± 0.6358,210.10 ± 6.85,204
mk04,16.4233 ± 0.2727,69.80 ± 2.94,60
mk05,20.3814 ± 0.4595,182.90 ± 1.45,168
mk06,30.0915 ± 0.6925,93.40 ± 4.97,33
mk07,18.7421 ± 0.6429,164.70 ± 3.77,133
mk08,48.3328 ± 0.6477,523.90 ± 1.37,523
mk09,51.2905 ± 1.3478,344.70 ± 11.60,307
mk10,51.7424 ± 1.7457,295.60 ± 14.21,175
mk11,37.9685 ± 0.8925,643.40 ± 7.41,594
mk12,37.4815 ± 1.1498,525.70 ± 5.03,508
mk13,45.9835 ± 1.9933,498.20 ± 17.71,353
mk14,57.3250 ± 0.7500,694.00 ± 0.00,694
mk15,59.0367 ± 1.5615,448.00 ± 20.29,283
