instance_name,GA_mean,AO_mean,wilcoxon_symbol,p_value,statistic,num_seeds
mt10c1,13.672935,12.304948925971985,-,1.9073486328125e-06,0.0,20
mt10cc,13.614425,12.306238925457,-,1.9073486328125e-06,0.0,20
mt10x,13.529825000000002,12.18478307723999,-,1.9073486328125e-06,0.0,20
mt10xx,13.809475,12.250477039813996,-,1.9073486328125e-06,0.0,20
mt10xxx,14.062295,12.474479341506958,-,1.9073486328125e-06,0.0,20
mt10xy,13.927834999999998,12.296240091323853,-,1.9073486328125e-06,0.0,20
mt10xyz,13.672194999999999,12.397635316848755,-,1.9073486328125e-06,0.0,20
setb4c9,21.240734999999997,19.46643497943878,-,1.9073486328125e-06,0.0,20
setb4cc,21.408495000000002,19.453198933601378,-,1.9073486328125e-06,0.0,20
setb4x,21.189535,19.416563320159913,-,1.9073486328125e-06,0.0,20
setb4xx,21.324605,19.50898931026459,-,1.9073486328125e-06,0.0,20
setb4xxx,21.503025,19.556496965885163,-,1.9073486328125e-06,0.0,20
setb4xy,21.096805,19.748900735378264,-,1.9073486328125e-06,0.0,20
setb4xyz,18.006030000000003,19.7219402551651,+,0.0003223419189453125,16.0,20
