instance_name,GWO_mean,AO_mean,wilcoxon_symbol,p_value,statistic,num_seeds
mt10c1,79.73179528713226,12.304948925971985,-,1.9073486328125e-06,0.0,20
mt10cc,79.26938283443451,12.306238925457,-,1.9073486328125e-06,0.0,20
mt10x,79.084259724617,12.18478307723999,-,1.9073486328125e-06,0.0,20
mt10xx,79.43087612390518,12.250477039813996,-,1.9073486328125e-06,0.0,20
mt10xxx,79.95526494979859,12.474479341506958,-,1.9073486328125e-06,0.0,20
mt10xy,79.40642901659012,12.296240091323853,-,1.9073486328125e-06,0.0,20
mt10xyz,79.46314113140106,12.397635316848755,-,1.9073486328125e-06,0.0,20
setb4c9,121.05947929620743,19.46643497943878,-,1.9073486328125e-06,0.0,20
setb4cc,126.35875687599182,19.453198933601378,-,1.9073486328125e-06,0.0,20
setb4x,126.71273554563523,19.416563320159913,-,1.9073486328125e-06,0.0,20
setb4xx,126.98926134109497,19.50898931026459,-,1.9073486328125e-06,0.0,20
setb4xxx,127.33156986236573,19.556496965885163,-,1.9073486328125e-06,0.0,20
setb4xy,126.56881676912307,19.748900735378264,-,1.9073486328125e-06,0.0,20
setb4xyz,126.63054616451264,19.7219402551651,-,1.9073486328125e-06,0.0,20
seti5c12,195.77808140516282,30.25812202692032,-,1.9073486328125e-06,0.0,20
seti5cc,196.4081143260002,30.152926135063172,-,1.9073486328125e-06,0.0,20
seti5x,195.95077987909318,30.203640615940095,-,1.9073486328125e-06,0.0,20
seti5xx,196.05695188045502,30.465142118930817,-,1.9073486328125e-06,0.0,20
seti5xxx,197.86932250261307,30.478371965885163,-,1.9073486328125e-06,0.0,20
seti5xy,196.33877069950103,30.27594048976898,-,1.9073486328125e-06,0.0,20
seti5xyz,196.48022903203963,30.46138597726822,-,1.9073486328125e-06,0.0,20
